"Year","gas_price_domestic","elec_price_domestic"
1990,62.0833839326128,83.6530786085857
1991,62.1871281494128,86.3611257563205
1992,59.9875834238709,87.8949043580094
1993,56.1541227520323,85.1227236177824
1994,58.4580627615262,86.2681265961708
1995,58.8132233250967,85.3599712754642
1996,56.5974221948399,81.5586334496751
1997,56.1748132909977,77.6707393823651
1998,53.5474448690005,73.1559316372544
1999,52.8405479070335,71.3735458052848
2000,51.072626083064,69.1053633084284
2001,51.8092119217097,67.4689469762157
2002,53.9604844908898,66.3994273443092
2003,53.8134767607063,65.4762139269182
2004,56.111324285087,67.6655270316186
2005,62.1967331482143,72.6109735027873
2006,79.4453123248148,86.0779925496839
2007,83.7582864952967,90.8876325188603
2008,96.6546926492249,101.493125725266
2009,107.607161802794,104.178072857164
2010,100,100
2011,108.562339267226,104.989383944634
2012,118.127668954263,109.218790411934
2013,124.51635142928,114.927795209485
2014,128.6408430556,119.605541243077
2015,122.130409365965,118.533739179771
2016,112.631616435641,115.936292101735
2017,109.389122714117,121.579112928594
2018,111.438472283575,129.541688634481
2019,108.529031051581,136.023044539258
2020,93.0503601527449,129.775063885422
2021,93.2655054941385,138.336250722594
2022,167.959234828496,195.47695262484
2023,185.329766123142,207.175545009445
