"Year","gas_price_industrial","elec_price_industrial"
1970,116.52,96.47
1971,81.98,98.58
1972,60.86,93.68
1973,59.15,86.63
1974,58.69,101.72
1975,64.36,107.16
1976,81.1,107.2
1977,97.26,108.5
1978,107.41,106.77
1979,107.06,103.69
1980,121.24,106.45
1981,130.73,109.66
1982,128.66,111.23
1983,124,105.8
1984,121.78,100.39
1985,123.37,98.99
1986,102.99,95.7
1987,92.05,88.17
1988,82.72,87.74
1989,74.15,87.2
1990,73.33,84.57
1991,69.21,81.67
1992,67.03,83.18
1993,62.59,84.49
1994,60.26,80.07
1995,54.73,77.01
1996,39.91,71.02
1997,41.27,66.87
1998,42.38,64.61
1999,41.58,64.12
2000,44.72,58.75
2001,62.02,56
2002,58.87,53.67
2003,59.59,50.78
2004,63.89,53.77
2005,92.47,68.48
2006,111.39,88.65
2007,87.83,88.55
2008,127.36,105.34
2009,106.27,111.56
2010,100,100
2011,119.5,100.87
2012,128.37,104.14
2013,138.91,107.09
2014,123.42,111.4
2015,110.22,112.13
2016,91.34,107.47
2017,95.04,111.24
2018,110.27,116.34
2019,100.58,128.2
2020,87.76,126.23
2021,126.19,142.06
2022,205.47,183.45
2023,223.99,238.66
