"Local authority","Code","Country or region","Year","Value"
"Darlington","E06000005","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","36498.8293669955,33147.9627466636,32224.0857952517,30627.0424854075,27215.958524735,28951.1157443063,27042.8011322494,26571.4620843738,27055.2154920358,25938.612302887,25989.1822574006,25820.5998206047,25966.7819523964,24129.250367462,24204.760936386,24847.4270238382,22568.1788062295,19921.9535043694,19513.7924012408"
"Gateshead","E08000037","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","32197.6821262474,31868.9024556617,30703.1097820461,28259.6000276718,26179.3882331328,24819.1400961748,23175.9100280947,23185.3093283881,22549.0477990447,22100.6177145008,21657.3305442234,22647.7063256919,22038.7916490238,21722.0128863239,21291.00714893,21428.2035423213,20347.6648041345,18200.1482329185,18117.0026210509"
"Hartlepool","E06000001","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","39484.2313430929,27166.663720624,26170.973480386,24982.9740940439,23113.6068701341,22856.7436518729,21788.0787808661,21677.1776478967,20797.8364724563,20198.2620297463,19759.1901751967,19437.4421875869,19636.4020028821,18717.1464929532,19722.9190242789,24064.0870580893,24073.6718365329,18273.9692201191,17169.6824737469"
"Middlesbrough","E06000002","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","25786.9631329196,24610.5368778594,24054.568224557,22755.2363001262,20997.7915410977,20859.662465058,19518.5988610165,19699.809911395,19449.6222420325,18671.0214821859,18176.7340799521,18221.567837437,18227.8803461887,18147.1261950117,17787.0196029658,19456.0456988346,17289.2955279532,15633.6588229118,15335.1708266707"
"Newcastle upon Tyne","E08000021","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","33219.8021808579,31106.7153137277,29870.8846532308,28957.4605078857,27332.814066348,27028.4970574143,25356.2040546536,25538.7146777892,24990.4450662156,24167.6478181802,24360.3729641453,24306.4512343149,23982.9684674204,23866.0210078695,23362.157375459,23822.6781478304,23217.5915019924,20976.2066036987,20836.25642174"
"North Tyneside","E08000022","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","31565.6722634956,27458.5711480738,25831.991218035,23578.1977080564,21542.9967682825,21393.3884837065,20272.7325043698,20641.1378180374,20283.090039114,20241.7010648173,20356.1601908348,19917.8181383958,20233.3811388458,19615.9200602225,19878.0863488898,20759.7154992794,19683.9807039643,17094.5172997164,17499.7215738197"
"Redcar and Cleveland","E06000003","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","40010.1195727683,39388.7100700405,38356.5497739881,36966.0527910219,24672.9879354521,23345.5984412064,22742.9100255319,22166.7208271787,21179.4154679303,20929.3608642973,19987.0634807664,19952.7163529585,20427.2215723464,24338.8279144773,26122.6433960449,28116.2471879901,28281.2619171606,25010.0123633361,22131.8365616009"
"South Tyneside","E08000023","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","24271.8541644698,23142.057868705,21877.989985609,20524.1207491302,18621.7318960425,18167.0472539624,17031.8504659139,17040.6401009419,16747.9198441414,15998.5960123774,15970.4017809279,15663.1014398782,15946.7725116458,15796.7616640764,15561.7847421888,15734.0860584741,15078.7737305046,13204.0381260431,13528.0573104331"
"Stockton-on-Tees","E06000004","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","44744.2698421087,40984.1125650037,34749.9796053553,33276.6605428561,30318.6105362776,29852.7439699188,24170.6634376801,23799.4729334034,22826.7004892258,22226.8090591302,23339.5977304738,21570.0362161687,23995.1215543912,23346.0112296563,23742.89730325,24058.8658917524,24468.3595855763,20606.1489749057,20453.6615537318"
"Sunderland","E08000024","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","30133.7603096257,27883.8934085585,26179.5316092435,24811.208215878,22468.2739178338,22114.3973914782,21109.9681182348,21569.3069588101,21177.700470916,20796.5657264019,20272.7839481094,20194.4773226861,20671.7650326137,20079.8651769981,19970.4704082956,19984.585476672,19275.0078663863,17326.1739921299,19796.3159116181"
"Blackburn with Darwen","E06000008","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","36925.5665233745,33706.8668514951,33588.0125808452,30657.9607516988,28796.0575803549,28356.6790466314,26057.0538689599,21573.1896655593,22006.4262944804,21081.2180851064,21013.2253245106,20798.6441069784,23538.4768690119,22091.858750039,21986.7526464169,22885.9428642166,21770.6019499129,18885.4652085256,18850.452689551"
"Blackpool","E06000009","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","26154.4042577157,24857.9097933599,23682.645620467,22680.0363647953,20568.4638054363,20376.6721022547,19432.6449988121,19310.1698621505,18286.4554541298,17906.3633191221,17784.2351454105,17563.7573875125,18202.7962037034,18636.2117367114,19263.5572607096,18953.8363020989,18818.7562865999,16849.2918707746,16465.1868753626"
"Bolton","E08000001","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","26380.7548249845,24963.4270555134,23910.9754507872,22616.3001309004,20266.093503679,19772.9016486293,18655.3784986227,18697.8741713831,18173.3838487469,17841.4807589937,17566.4944214461,17811.3563633869,18518.7988988245,18257.8749011872,18250.3296722206,18469.4675308499,17704.6329984228,15624.4462637498,16123.8186391387"
"Burnley","E07000117","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","28061.3115095699,25962.7865592364,25665.3850072595,23747.442028244,20658.671759828,20366.7783090021,19254.1050952976,18228.2321519116,18206.9858603712,17860.8989447236,18248.1296573385,17658.9364206341,18220.6129836352,17980.766934796,22079.7998512317,21023.4943984757,19445.312659317,17573.6771531188,16902.4123464774"
"Bury","E08000002","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","30357.7189953109,28730.4410699685,27965.4977858111,25004.3545896963,22953.5422817581,21959.5640698991,20840.6269329814,20825.3308466895,19932.6112689995,18931.8036964047,18789.0517865792,18809.0126618221,18876.3584657545,18795.9480604969,18999.7288310603,19095.1669172695,18822.5633065466,15963.6355607286,16026.85447764"
"Chorley","E07000118","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","26226.8016306326,25264.0756202005,24055.4766635914,22984.6595644718,21006.2811779356,20436.6391202172,19384.4087001882,19272.654376022,19023.0808615741,21140.1989001117,19943.864778572,20134.4602206985,20308.1004623679,20257.0328635929,19620.6498573085,19286.689414639,19066.6501324989,16767.9319994791,16778.0899489905"
"Fylde","E07000119","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","38935.0924256383,38172.5588730025,33621.8215323688,33199.0820914372,33619.8191246759,35137.7639407518,32618.637818816,21916.5282820148,21013.5474544894,19909.0082160704,19667.5000923423,19612.7221576067,19795.1436880452,20301.6242920826,19707.0358405806,20405.0013401995,18112.0917307235,16274.6902094799,16005.0097000497"
"Halton","E06000006","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","29908.2069718038,28776.5358014646,27501.4360156309,25377.2852214683,22344.1783906309,24360.7187010881,21734.4536419486,22082.6777978679,22307.0097319065,21990.0519711601,21859.5691083498,22330.8256047589,22441.1176408094,21362.8468231012,20622.4800083022,22565.1154982076,21306.7152089634,18787.9512416298,18114.3686547256"
"Hyndburn","E07000120","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","27959.7981345002,26218.3151068449,24920.2746897841,24452.2807277705,21636.4770527984,21170.7991223103,19822.2919435568,19157.365667866,17915.2170927234,18175.7956296048,18410.1843041336,17342.261597326,18257.8419787694,19820.7839820146,21959.3353608328,22762.4224756152,23598.2704586916,19732.4388717642,19251.0297213817"
"Knowsley","E08000011","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","33978.1496306224,30443.7666584382,28766.2816810519,25341.1142838653,23112.1160336189,22505.2203998776,21913.0835190917,22807.5531190019,21275.7548662864,21487.5467625899,20257.652533612,19778.7893779246,19534.2107367244,19765.9799228374,19133.9022041818,18801.8630238004,21022.6941687904,17560.1735161744,18749.1542015994"
"Lancaster","E07000121","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","30433.0769378358,28640.4921819813,27259.6800665897,26046.4312156361,24163.5883923368,23125.9733068401,21926.3554021273,21921.7078701645,21810.3650303915,21622.6047118495,20411.1347881322,20179.7693999204,20225.0838336466,20393.7366231627,21041.2786969082,21102.5801242037,20489.2506117009,18200.6823186984,17842.6947305003"
"Liverpool","E08000012","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","27201.551377272,25862.301313236,26271.8269900698,25146.8850931515,23753.3368734512,22308.0342325591,22029.7679012601,21666.7711938382,20989.9774396535,19793.5694784099,19634.652171804,19406.1788697224,20605.6980705063,20166.9198260926,20327.2182652924,20611.9659354174,19889.9129063714,17586.9476083877,17651.2205430548"
"Manchester","E08000003","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","30803.1937133498,30735.6323298706,27859.3696784938,26892.1597307187,24238.6873308844,23509.7492760753,22057.1384485778,22018.6319654214,21134.8701029912,20326.6072592512,20554.1181365578,20040.2665600838,20437.0242059807,20282.3740162819,20892.0239122849,21398.1996474211,20591.5310382189,18430.818969335,18686.5537013101"
"Oldham","E08000004","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","27152.446122551,25553.2382375922,24422.6408335021,23370.739360745,21165.6221497272,20561.2689213299,19294.661999148,19068.9056868711,18193.3719643746,17492.1692645204,17344.3762371343,18017.541299519,18080.485700989,19738.4508863059,18168.9637144313,19065.7997292528,19651.835410815,16865.7241492738,17024.312258731"
"Pendle","E07000122","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","27894.4476246209,26934.6076694601,26301.7716085017,24368.4911696014,22290.1048813701,22338.5658947148,21217.7032569046,21310.6619835139,20615.8939429222,20006.4268799174,19814.5970016335,19566.5472263751,19894.167144666,19183.3213641836,20042.6819426565,19698.4163303795,19379.2748598009,16935.7331336162,16965.965275329"
"Preston","E07000123","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","29530.5979838408,25413.7968896033,24813.3904169213,23906.8765569395,22118.6050683266,22321.7924170791,21306.5278414824,21280.3688900204,20229.5044684129,19723.9579269286,19840.4665541438,19664.4273119161,20088.1549855663,19826.979357981,19749.1041390483,23444.3612198363,20356.0393301416,17585.6757986189,18503.6993479915"
"Ribble Valley","E07000124","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","39320.2905019384,37409.5455462524,32866.3987776164,31552.9186081243,29145.9709642255,32991.3809147876,32141.077767971,27537.0577864838,28934.8763097617,27660.7908299866,26000.709489974,25651.9466833503,26331.5398444807,25412.7198676529,25722.2361807856,25759.9847732943,23275.9200421801,19360.3670940328,21404.8322867107"
