"Local authority","Code","Country or region","Year","Value"
"Darlington","E06000005","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4047.15342462876,3977.97098181666,3856.12369924379,3735.57569597788,3696.81985837375,3677.3357371403,3624.29118717839,3558,3519,3498.238824,3497.77028684853,3425.55690514258,3327.39225941698,3214.24938082588,3182.81766756309,3379.12624455961,3141.08035633514,2849.11026514139,2864.47172614437"
"Gateshead","E08000037","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3706.71113347769,3650.68988040978,3567.45041276949,3442.84015963784,3443.13028848224,3418.80038889183,3390.30840155337,3333,3301,3291.348909,3291.80814175627,3185.66425554708,3091.19589231635,3000.6716893138,2971.88718457682,3097.46583998448,2904.14169332832,2666.03781941252,2697.74309273021"
"Hartlepool","E06000001","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3723.75417348609,3706.84718973517,3633.13661200874,3481.19379260334,3488.6165334737,3473.63091432379,3458.0436142691,3367,3365,3301.931401,3347.62851538622,3249.31189145829,3143.37100451597,3061.88261031955,3022.67684212973,3149.94109194897,2968.53728318138,2700.64349438737,2714.0119622048"
"Middlesbrough","E06000002","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3861.04415274858,3811.75950594329,3720.24661035126,3564.78336163836,3539.87960585249,3539.5953667635,3500.37466455414,3419,3370,3350.018603,3350.97344233248,3236.95272117158,3132.97080176054,3040.65142167585,2986.99272271823,3107.2430981966,2945.97964629506,2728.80440828559,2781.93588061846"
"Newcastle upon Tyne","E08000021","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3950.13537712308,3901.31364843442,3809.32958573726,3660.75290884178,3644.12316865145,3620.77157894745,3565.46194596151,3538,3487,3459.82255,3445.94702700922,3322.15965378326,3225.49236339109,3113.11711380898,3080.9230774629,3216.2261134864,3041.22054584994,2844.61067625666,2880.81370601624"
"North Tyneside","E08000022","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3790.76054142915,3700.56638659033,3616.75024141857,3456.59315789474,3432.82702322308,3418.77162006794,3377.29010518196,3318,3283,3253.541034,3257.99769097926,3146.39033976435,3042.24815696845,2934.91977660552,2916.20274420617,3064.5798459092,2857.68222855778,2615.66059038984,2664.85398256712"
"Redcar and Cleveland","E06000003","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3959.01398386477,3885.63059750545,3800.30924121877,3609.04595569294,3578.51702049252,3564.85124075228,3517.08746015047,3449,3383,3357.517784,3357.60992621963,3250.76889522337,3147.82360887604,3044.62696064313,3012.20836080564,3153.84582979315,2952.57941179263,2665.21111181612,2726.56965813845"
"South Tyneside","E08000023","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3543.8688668547,3481.68423846054,3395.34891442064,3256.85841320785,3261.86372313663,3252.74577586577,3220.85845627539,3159,3156,3121.404197,3132.80226273468,3024.35557191829,2920.59534387488,2826.85217995567,2802.93752926031,2914.7557209831,2726.956825537,2476.26880892847,2525.74194073897"
"Stockton-on-Tees","E06000004","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4003.33452192649,3958.56578011769,3850.2773879404,3655.73550795594,3643.8600511063,3648.97345633705,3600.08939181329,3520,3471,3457.691755,3469.72605136448,3366.47625866196,3245.04330666055,3147.96845646872,3095.88923755483,3274.1971374036,3088.4097518089,2812.64827119832,2855.85630566839"
"Sunderland","E08000024","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","3693.08688974833,3641.74035172055,3569.95756569229,3426.243721322,3434.90297702728,3438.93013694267,3412.65085186392,3334,3308,3283.873137,3284.55328262004,3175.89134910389,3072.75416361233,2969.24479240155,2942.76150513071,3057.6242433219,2858.76990779562,2625.75693286158,2661.77370979624"
"Blackburn with Darwen","E06000008","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4570.42670642689,4187.34988339793,4126.90551986475,3941.42362706664,3942.05057579953,3929.54234075124,3886.15521210184,3749,3677,3668.600326,3694.67889655571,3562.80634089655,3546.85029615247,3403.63718388592,3355.17408774907,3508.96447823864,3270.73280568341,3013.83930589345,3126.43414019342"
"Blackpool","E06000009","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4876.76837487634,4485.38252044238,4423.66390472495,4218.85012460217,4178.46116181954,4152.54407241763,4053.46532216131,3991,3877,3845.044967,3837.63097896839,3700.71184333723,3646.30052373194,3511.30552117148,3441.90460759578,3588.79829934334,3309.99721928655,3036.90861285491,3114.58407099661"
"Bolton","E08000001","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4561.02805220792,4210.23927188917,4114.94165278296,3922.28315133387,3912.80567588737,3891.25645470875,3867.81067281966,3793,3743,3741.731515,3723.93741875052,3594.90643473509,3564.15197174723,3424.52531388439,3378.73877073244,3533.72481487714,3326.49463281316,3031.96365372689,3130.98302926531"
"Burnley","E07000117","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4285.94041940566,3983.54755273086,3895.82425832896,3742.43480825212,3719.41993172005,3723.20536018009,3666.20735614347,3570,3520,3507.179628,3542.4885821694,3398.8961807396,3382.14820260378,3250.82108311468,3204.36274837933,3343.47879172567,3103.64436539625,2825.68986017762,2944.93717276359"
"Bury","E08000002","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","4596.85537214603,4308.4746877493,4262.13051688762,4047.88676563683,4016.60617816092,3994.86851355814,3974.31206107429,3884,3819,3799.312662,3783.71155624768,3641.77317873653,3588.29222696473,3471.08859665926,3435.1010019644,3608.09373538583,3384.61590538768,3082.20819877123,3208.3890036761"
