"Local authority","Code","Country or region","Year","Value"
"Darlington","E06000005","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19590.9540334642,18774.708031394,18022.4666244286,17317.5830247471,15716.2317555342,15443.4812548671,14598.7066246756,14651.8471171291,14207.0230300891,13845.5027296047,13708.7596071807,13795.1380132543,13946.9427742946,13573.9505623081,13694.3081475377,14009.0453020773,13153.7518976306,11255.5161508573,11370.5416485783"
"Gateshead","E08000037","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","20405.1742641994,19349.0298617879,18463.6045529328,17556.4330330541,15659.8320258475,15288.8075659232,14339.767924222,14401.182689636,14046.0690214244,13610.4770520538,13495.3535549848,13487.0016697407,13738.5612252745,13460.9790068173,13682.1604250442,13927.6958715059,13206.3539611139,11354.5564065917,11712.5139194951"
"Hartlepool","E06000001","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","18535.4531411984,17878.9113342235,17244.9806739975,16387.196409983,14835.3285401845,14548.6930707914,13701.9089078388,13607.7156252326,13283.4768073032,12911.5036927984,12781.9426591194,12775.8067090847,13100.1467022271,12626.2296128656,12760.5898482184,13041.7510289153,12361.1993708867,10553.1859055372,10715.4165458429"
"Middlesbrough","E06000002","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","18522.9078678234,17808.758977063,17204.5685020101,16477.2479824945,14926.6641467366,14761.7673749024,13928.2620807178,13928.6101242107,13434.4152388212,13056.1897628608,12993.5887657173,12935.0429229122,13092.4283684473,12783.9261312342,12892.4485969442,13222.1793071021,12539.308597628,10849.3818255621,10973.7759597129"
"Newcastle upon Tyne","E08000021","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","20425.3564318096,19393.3853769207,18567.6964003495,17813.1132148914,16100.0050260508,15683.7295821768,14648.9382159452,14606.0021193438,14233.5542601635,13842.0980609822,13872.2710452263,13935.223972216,14166.0055588863,13902.2894154956,14169.8309499843,14480.589577617,13848.9469001777,11970.2967116854,12314.9842237893"
"North Tyneside","E08000022","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19945.2360801782,19063.0037739733,18364.1882796273,17439.954031429,15681.6796468318,15342.8812428645,14300.9296786009,14431.6400378767,14115.6520200171,13702.4709197177,13596.3148542713,13595.2146148607,13897.6640964794,13468.3011625791,13678.1418241457,14004.6041010321,13210.8120414279,11232.0739973993,11575.1225617577"
"Redcar and Cleveland","E06000003","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","18645.4272369715,17856.6617455719,17163.004702384,16379.1404553902,14812.6834721913,14605.8484341382,13722.3399756487,13932.067960999,13443.6332127993,13118.6276235039,12929.4073047775,12867.5429552667,13172.9992243609,12652.454993297,12799.2497218695,13172.4924177895,12363.195496489,10513.4026670104,10706.2765618434"
"South Tyneside","E08000023","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19136.7471941853,18241.9704779116,17544.1724903938,16743.7424693612,15000.9017830521,14574.8623126944,13549.0394486692,13548.8073802049,13174.6916425235,12745.3152393151,12663.5308941439,12670.4240868137,12958.7135280524,12561.815929006,12678.0095942151,12964.745779191,12318.6446308834,10445.6098182039,10804.2899609394"
"Stockton-on-Tees","E06000004","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19182.893696252,18391.1065029643,17663.9030506988,16928.2083279602,15368.0487285705,15216.4422175653,14324.7257025724,14405.7852000606,13909.3857600704,13511.9039447264,13341.1722503374,13372.5110685162,13582.5013188564,13135.3593121407,13251.6888202649,13530.354072236,12740.6099491163,11011.0177947388,11150.78381295"
"Sunderland","E08000024","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","20309.8598199554,19319.6653658038,18656.458509321,17813.3636402149,16015.1440991272,15730.6561063497,14714.5217142569,14707.8056139878,14298.0207650731,13819.2681824625,13684.7392623367,13658.5535973584,13892.2404243533,13475.528288343,13628.3818051988,13939.204680922,13144.7900131702,11222.7180111881,11493.1721976529"
"Blackburn with Darwen","E06000008","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","20141.3511989749,19361.7898073954,18894.8801119942,18202.4332834934,16564.8532900867,16064.7459580999,15273.0856801112,14706.1719273743,14199.9756431356,13790.7122924275,13861.5550443593,13829.8830506274,14257.9344841526,14113.8154737606,14350.9140479132,14673.1727957745,13967.4254268997,11993.5333035584,12392.3127477021"
"Blackpool","E06000009","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19212.6907989996,18373.1760065466,17518.2793726051,16803.8923044514,15226.0053204353,14851.86520038,13860.6855753647,13553.6510904421,12927.1939036068,12612.7984218765,12598.7880107544,12673.6930653819,12948.0179860722,12738.6481436283,12968.0787851983,13160.9019471863,12314.6084136313,10353.4467424737,10742.2712145692"
"Bolton","E08000001","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","19634.7216846585,18873.3241993788,18155.7203685681,17361.1317392466,15703.3998638385,15192.62963975,14384.4213828189,14196.551065766,13743.7801106898,13367.2976991243,13314.5557935569,13331.9765222761,13698.2896639241,13523.179800939,13770.6517876084,14030.2125701779,13368.2195163948,11506.3405396166,11840.02261205"
