"Local authority","Code","Country or region","Year","Value"
"Darlington","E06000005","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","88758.1481564246,89210.5055094131,84737.5062970187,84525.9084154236,82431.0176818951,78895.7666338859,73463.8595787076,72990,70944,67766.36446,70768.5518779178,67384.2848641425,65198.270755506,67114.3302193339,74162.2595866195,65735.4185054348,67356.4690468541,68926.9799713137,67128.5288669911"
"Gateshead","E08000037","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","105735.377245414,108451.144482705,105210.886821827,102322.216730831,92226.4975381742,95064.8977435065,89212.3945063823,87041,87161,92565.74589,96021.3012865483,88727.9581161465,90400.7899919028,87579.462621282,85584.0447524435,73773.7626421137,79175.1615632239,79619.2288650218,76168.6448944976"
"Hartlepool","E06000001","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","132862.033973064,131702.283057152,121064.845721105,121748.484360027,115348.30994513,125959.284331956,82307.7198921106,113539,107861,104739.8362,106656.768522029,100868.518887362,102698.73125,101823.337561294,103988.577722278,95807.7840224497,96605.3440608466,93838.4512245239,91474.9761157825"
"Middlesbrough","E06000002","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","134578.218831943,138426.972201048,147477.18591954,124902.692285161,98626.7604390244,90433.7775696327,96378.1221135029,93114,71631,68839.82457,72954.6786299768,67822.5276981685,65886.9784068687,73174.3279603732,64268.0641150718,54911.9470118617,56463.7814186603,55050.9702214083,53546.3562088562"
"Newcastle upon Tyne","E08000021","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","92554.7675144849,92820.8010251355,91649.1257111156,92773.8870626526,91891.7741252967,95456.0491127945,92405.3716484197,90399,93294,85539.16228,85429.5822268879,78950.4668448952,80617.1876107801,80712.0511005829,78023.3777077871,64255.9318768252,66170.6655594171,67910.6266216646,65585.6603810605"
"North Tyneside","E08000022","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","118469.190789953,114257.035346836,109868.828767857,103674.617135293,90035.8323234167,93756.4410995735,91745.3532067822,91326,89020,79842.61204,87140.6117939202,81360.2497529713,83566.1424122764,82419.3476482245,81984.2264541337,74241.2439274097,75924.036756524,74826.5748367937,74730.7183193087"
"Redcar and Cleveland","E06000003","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","269021.76093171,270180.821242698,261875.112402684,256942.829847078,214503.81619256,202173.548145585,196742.462149533,203023,225724,231769.7644,229738.819126619,178193.750206248,164028.437825503,161078.18522637,157036.351531151,145084.05542009,146157.277522984,146599.861398423,145654.340529689"
"South Tyneside","E08000023","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","72313.5257229833,69392.1119444444,61755.1802404207,62479.268080402,62212.4776322418,63253.4332397959,61183.4605880836,62320,62172,60004.65268,61412.7364101174,53815.940406193,54139.8624079546,53542.4861332606,52238.960107948,45355.1692448995,48042.2196935003,46428.0615569782,43718.9252578745"
"Stockton-on-Tees","E06000004","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","193856.668381331,184721.87617734,170638.689109296,167446.715262444,162770.315290461,159431.250166569,147525.507435449,160115,196805,193378.0703,205430.332286932,191689.946544364,187885.152572287,180623.057182576,186403.791408871,169372.783396423,165134.041322996,142955.429495836,138066.495412734"
"Sunderland","E08000024","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","122796.792024154,122513.424026465,115497.910917641,111162.850175756,106500.421712939,110350.280643252,105272.490689746,108557,109059,107060.5035,110602.091309457,105079.262563738,108372.170003824,105997.205098581,100250.644234405,83963.0163439779,85744.1151056118,87237.2534205,86953.6567744596"
"Blackburn with Darwen","E06000008","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","113760.771078233,107963.788855769,96521.6116017819,99663.7288404064,83508.7582573455,91462.3019429268,82342.5849141456,87158,79890,77030.62497,82541.7554470617,80809.3351430953,81620.4925815063,81016.7055978331,79332.9400177725,68426.6196247709,71550.6379622306,69216.5275517049,65385.7323942774"
"Blackpool","E06000009","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","55587.1603310671,52178.7074877878,49574.5324263358,51483.2771311595,48912.2676681614,49032.215930931,43565.5979663609,47464,46312,44708.80123,47565.7574629599,44880.4997182788,44809.0385792321,43590.7536577024,44068.0758334906,35242.2638356038,38485.1960010401,39331.4724447298,40095.3034122332"
