"Local authority","Code","Country or region","Year","Value"
"Darlington","E06000005","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","1071580.09012875,1000163.52492212,1041269.67684888,1016328.28093646,1030740.84795322,1243152.38,1186323.33264463,1208024.87719298,1196601.92369478,1147033.77642276,1231720.24836962,1180365.77577327,1239216.04687106,1037781.99255202,1101005.17952147,1182121.65668803,971859.487525473,1003210.7076206,976618.496294913"
"Gateshead","E08000037","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","749580.924132948,830505.479400749,875278.243961353,829004.314685315,889033.701620591,837473.425742574,822897.766002099,796618.257900102,792992.088142707,806177.314164004,792424.484324706,870731.953065565,830051.401560979,792778.319312964,796978.505472492,768721.431038997,731318.236537159,747584.792728369,736106.220851829"
"Hartlepool","E06000001","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","1490629.03949731,692060.466911765,704701.511583012,718757.350409836,799768.403301887,803325.936619718,843126.48989899,818991.448529412,772790.422222222,775851.788804071,745232.330242009,730093.061980392,746646.252943917,698707.106985942,826102.961468163,1233076.57025812,1251517.70747278,975207.37704928,831043.261973849"
"Middlesbrough","E06000002","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","528789.52991453,502963.013597033,544490.802124834,532172.967329545,549084.689393939,556795.853658537,543979.737357259,581650.891891892,588636.119672131,556863.723684211,532802.918069924,549104.737041155,531695.399014788,531622.291536768,518132.887122233,657940.166335085,494329.24111387,509798.269684607,493745.450958662"
"Newcastle upon Tyne","E08000021","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","591618.778235779,578860.228846997,585048.394977169,616970.280684597,700025.745314223,707101.990633609,688066.4476082,698771.448022599,682194.40726257,681634.764774044,694498.444284055,689047.533328209,664374.843437105,636976.364089119,620219.964920061,647181.864520785,644671.016755703,663782.031056034,643199.185709955"
"North Tyneside","E08000022","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","865504.573221757,651177.183517417,648287.849574267,559415.392504931,596300.271727173,637070.402050114,650875.392688679,662062.96547756,642710.880179171,690272.649717514,758155.452827392,701570.707947045,718993.908593394,675210.573979926,707306.953066577,781760.721190656,760438.277927997,726301.928225152,756358.77265339"
"Redcar and Cleveland","E06000003","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","1977529.16082803,2077437.74384236,2223558.38146168,2316451.92115385,1225432.10625,1140850.48908297,1226441.99771167,1118744.86788155,1002853.53246753,1072810.43607306,996916.134486059,970488.03792837,1021177.14310133,1575276.50334026,1905337.975236,2183244.22385944,2218132.1410674,2267667.90694752,1822621.6580851"
"South Tyneside","E08000023","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","400438.543624161,393596.54075775,392527.870346598,372378.353760446,395750.304347826,406278.951768489,405905.316749585,393734.645367412,409814.642276423,391164.283531409,404576.615156383,364776.337796428,379711.389760802,384055.559678875,362879.265432199,357516.832193336,341461.700668262,361811.618532284,373132.031013361"
"Stockton-on-Tees","E06000004","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","1895625.91367604,1696781.55973025,1437001.57037037,1456124.10774411,1505722.79496855,1501614.19795658,1038687.35853977,1031597.06097561,949074.933420365,925052.696382429,1095047.50422198,862988.182883724,1098506.98011345,1048012.06090382,1177185.35665574,1143210.50010735,1266101.75836299,1119505.91122681,1111695.1812098"
"Sunderland","E08000024","North East","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","685645.148887621,601887.705311251,575075.235148515,567114.296782666,596438.320570571,609903.562015504,635145.146203554,683470.271915584,662072.765027322,679722.656692914,658777.069266615,660645.300182956,678296.49927324,644361.342183431,665553.900952012,650151.384656056,638927.845833141,692947.990959405,940589.349382428"
"Blackburn with Darwen","E06000008","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","801026.969166667,721411.124229075,790250.164651163,721386.017982018,802662.411564626,833988.663157895,768283.900726392,503020.895960832,576966.233990148,555460.564393939,546513.533796449,534085.808855978,685665.500847521,579476.516211276,581424.503516971,620571.559869943,588561.479211283,559947.581040701,556537.758946796"
"Blackpool","E06000009","North West","2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","334103.000729927,334644.645035184,354677.404533566,370686.491362764,394993.308474576,413422.699885453,443916.502444988,473748.901763224,454972.188556567,475653.495856354,469028.464522939,435188.928999065,469997.112030266,511844.6390774,593326.765069948,571005.53648854,597587.00636501,637694.61110293,599712.576958004"
